,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
221,Supply Chain Analytics Consultant,$84K - $128K (Glassdoor est.),"Job
Description

ABOUT TREDENCE:

Tredence is a global analytics services and solutions company. Our capabilities range from Data Visualization, Data Management to Advanced analytics, Big Data and Machine Learning. Our uniqueness is in bringing the right mix of technology and business analytics to create sustainable white-box solutions that are transitioned to our clients at the end of the engagement. We do this cost effectively using a global execution model leveraging our clients' existing technology and data assets. We also come in with strong IP and pre-built analytics solutions in data mining, business intelligence and Big Data.

THE IDEAL CANDIDATE WILL:



The Supply Chain Functional Consultant will play a crucial role in client implementation projects by conducting necessary reviews and analysis of the client’s supply chain processes. The ideal candidate has a growth mindset and will play a lead in driving the consulting engagement, working closely with client stakeholders and development project team members.",3.8,"Tredence
3.8","San Jose, CA",501 to 1000 Employees,2013,Company - Private,Consulting,Business Services,$25 to $50 million (USD)
222,Sr. Business Systems Analyst (Data Scientist),$139K - $267K (Glassdoor est.),"Title: Sr. Business Systems Analyst (Data Scientist)
Location: Temporarily remote during SIP, but in office in San Francisco, CA after
Type: Contract

Summary of Work
This position will provide professional-level business process support and analysis for major initiatives that support the Data Analytics Workstream of the Information Technology Advisory Committee. This position will contribute to the design and implementation of a branch wide data governance model and will review the current data and analytic portfolio and branch workload models to identify new opportunities and make suggestions for adjustments. This position will help inventory agency datasets and match those datasets against agency data needs. The position will perform gap analyses to determine where additional governance may be needed.",4.4,"MATRIX Resources
4.4","San Francisco, CA",201 to 500 Employees,1983,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
223,Senior Data Scientist,-1,"SHR Talent is currently representing a growing tech company that specializes in AI in its search for a full-time Senior Data Scientist to help the company expand and scale. This is an extremely visible position, as the Senior Data Scientist is responsible for guiding the development of the company’s platform as well as leading its implantation at clients.
As a Senior Data Scientist, you will:
· Represent the company platform to customers through technical presentations, product demonstrations and proofs-of-concept
· Relay the customers’ feedback and point to view to the company’s product team, informing the future direction of the application and platform
· Apply rigorous analytic methods, purposeful insights to solve challenging technical problems for clients",4.4,"SHR Talent
4.4","Northville, MI",1 to 50 Employees,Company - Private,Less than $1 million (USD),-1,-1,-1
224,Senior Data Scientist,-1,"Our Client
A well-known insurance company who are revolutionizing the industry with the use of AI are looking to strengthen their team with a Senior Data Scientist.
The Position:
As a Senior Data Scientist, you're responsibilities will include:
Help define the vision for the data science applications, focused on up-leveling internal use of machine learning
Partner with the marketing teams to help predict customer behavior, establish metrics and identify inventive ways of retaining customers
Ensure data quality and integrity within our products as well as our teams",4.8,"Venturi Group
4.8","New York, NY",51 to 200 Employees,2009,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
225,Staff to Senior Staff Geologist/Hydrogeologist/Scientist,-1,"Staff Geologist, Hydrogeologist, or Scientist – Emeryville
WEISS ASSOCIATES, a premier San Francisco Bay Area environmental science, engineering and management firm, is seeking a Staff to Senior Staff Geologist, Hydrogeologist, or Scientist with 2 to 6 years of work experience to join our team to support diverse environmental projects, including site investigations, soil and groundwater remediation, surface and groundwater quality evaluations, and environmental compliance.
Weiss Associates is committed to protecting our employees, clients, vendors, and the public from hazards associated with Weiss’s work during the current outbreak and community transmission of the virus SARS-CoV-2, which can cause the Corona Virus Disease 2019 (COVID-19). Until further notice, all employees will work remotely (from home) and continue to perform their regular duties and assigned tasks in the field as required. Weiss will provide all field employees with essential Personal Protective Equipment. Employees will be expected to resume working from their assigned offices when all restrictions are lifted by local, state, and federal authorities. The position of Staff to Senior Staff Geologist/Hydrogeologist/Scientist will be based in our Emeryville office.",Associates,Weiss Associates,"Emeryville, CA",-1,-1,-1,-1,-1,-1
226,Market Research Data Analyst,-1,"Market Research Data Analyst –Warrington, PA:
About Phoenix Marketing International:
At Phoenix, you will experience an entrepreneurial culture and collaborate with team members who are innovative and passionate about their work. Founded in 1999, Phoenix Marketing International has over 400 employees worldwide and is considered one of the Top Research Firms in the US (American Marketing Association Gold Report) and one of the fastest-growing Market Research firms in the world.
Phoenix MI works in all major industries, helping its clients build and measure brands and communications, create and refine the products and services that they deliver, and optimize their customers’ experience.
Phoenix Marketing International is dedicated to being an equal opportunity employer and does not discriminate in employment on the basis of race, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital or parental status, disability, genetic information, age, or other non-merit factors.",3.6,"Phoenix Marketing International
3.6","Warrington, PA",201 to 500 Employees,1999,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
227,Supply Chain Analytics Consultant,$84K - $128K (Glassdoor est.),"Job
Description

ABOUT TREDENCE:

Tredence is a global analytics services and solutions company. Our capabilities range from Data Visualization, Data Management to Advanced analytics, Big Data and Machine Learning. Our uniqueness is in bringing the right mix of technology and business analytics to create sustainable white-box solutions that are transitioned to our clients at the end of the engagement. We do this cost effectively using a global execution model leveraging our clients' existing technology and data assets. We also come in with strong IP and pre-built analytics solutions in data mining, business intelligence and Big Data.

THE IDEAL CANDIDATE WILL:



The Supply Chain Functional Consultant will play a crucial role in client implementation projects by conducting necessary reviews and analysis of the client’s supply chain processes. The ideal candidate has a growth mindset and will play a lead in driving the consulting engagement, working closely with client stakeholders and development project team members.",3.8,"Tredence
3.8","San Jose, CA",501 to 1000 Employees,2013,Company - Private,Consulting,Business Services,$25 to $50 million (USD)
228,Senior Data Scientist,$95K - $150K (Glassdoor est.),"Relocation Assistance Offered Within Country
# 99623 - Topeka, Kansas, United States

We are looking for a Senior Data Scientist who will support our cross-functional teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the efficiency of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They should have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with partners to improve business outcomes.",4.2,"Hill's Pet Nutrition
4.2","Topeka, KS",1001 to 5000 Employees,1907,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
229,Machine Learning Engineer MLOps,-1,"Machine Learning Engineer for ML Ops
Providing a well-architected, highly performant, and intuitively configurable AI lifecycle management system is a core part of Lucds strategy. Enterprise AI stakeholders need robust capabilities for enforcing AI governance in accordance with their specific business needs; for example, defining policies for identifying biased datasets or AI models, and assessing degree of fitness of a model for production deployment. The primary responsibilities for this ML Engineer position will focus on developing machine learning operations (ML Ops) capabilities for the Lucd platform in support of the needs stated above.
This primarily includes the following responsibilities.
Contributing to the architecture and implementation of an extensible ML Ops framework enabling governance capabilities such as (but not limited to) data quality measurement, AI model experimentation, and AI production model monitoring, all facilitated in a customized and automated manner. The targeted AI production environments might include cloud-based API services or edge deployments (e.g., embedded or mobile devices).",Lucd,Lucd,Remote,-1,-1,-1,-1,-1,-1
230,Data Scientist,-1,"Company Overview:
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes. We’re treating cancer, one patient at a time. Join us and make a difference every day.
Job Description:
As part of MSK's new and exciting digital transformation, we are hiring enthusiastic data scientist team members to build and deliver a one-of-a-kind data facility. You'll have the chance to work with clinicians and researchers to achieve the goal of translating institutional information into meaningful insights in order to improve patient care, hospital operations, and clinical research.
About us – Unified Data Fabric




Closing:",Center,Memorial Sloan-Kettering Cancer Center,"New York, NY",-1,-1,-1,-1,-1,-1
231,Machine Learning Data Engineer,-1,"As a Machine Learning Data Engineer, you will be responsible for the continued development of the Lucd platforms ML data processing capabilities.
This primarily includes the following responsibilities.
Architecting and implementing large-scale distributed data transformation components and services for supporting applications and workflows such as AI experimentation and training, and visual analytics. There is an emphasis on using GPU-enabled capabilities.
Contributing to AI workflow governance solutions, especially regarding data quality and provenance.
Contributing to AI model production management and monitoring solutions for various types of platforms (e.g., enterprise APIs, embedded devices).",Lucd,Lucd,Remote,-1,-1,-1,-1,-1,-1
232,Engineer - Data Engineer III,$92K - $156K (Glassdoor est.),"Engineer - Data Engineer III - 000025L8
Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures.
What you will be doing
Individuals within the Enterprise Data & Analytics leadership role have responsibility for activities that contribute to planning, creating, and implementing an enterprise data & analytics vision and strategy aligned with the company’s strategic business plan. They enable innovation and understand the business analytics trends that can create business value. This role also oversees the development of enterprise standards and technology initiatives, and the IT governance process. They manage small to large teams of people responsible for developing and delivering business analytics solutions for the business and customers. Each role within this role provides technical and business leadership to their organizations as well as to the business.",3.5,"AmerisourceBergen
3.5","Conshohocken, PA",10000+ Employees,2001,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
233,Data Scientist - Defense & Intelligence,$72K - $116K (Glassdoor est.),"Work Location is Fort Meade, MD
Elder Research Inc. is a recognized leader in predictive analytics and data mining. We pride ourselves in our ability to find creative, cutting edge solutions to real-world problems. We are looking for innovative and inquisitive self-starters who enjoy translating complex models into actionable solutions that deliver real value for our clients. We have multiple openings in the Baltimore-Washington Metropolitan area for cleared analytics and data science professionals at varying skill levels to support our Defense & Intelligence business
As a Data Scientist, you will work directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver data-driven analytical solutions that solve client problems. You will primarily create and deploy predictive models from a wide variety of data sources and types using the latest mathematical and statistical methods.",4.2,"Elder Research Inc
4.2","Fort Meade, MD",51 to 200 Employees,1995,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
234,Senior Data Analyst,$67K - $120K (Glassdoor est.),"Your mission as a Senior Data Analyst:
Serve as a Socrata platform and government data-enabled expert who combines strong technical proficiency and communication skills with excellent interpersonal and business consultant acumen. At Tyler Technologies, we exist to inspire and empower every public servant to address society's pressing issues. We do that by enabling data-driven leadership through connected data and shared insights.
Our data-as-a-service platform and cloud-based solutions support the world’s most effective open and internal data sharing programs at every level of government. What we do matters. New York City, Virginia, the U.S. Department of Commerce, and 230+ other cities, states, counties and federal agencies use us to connect citizens and their internal teams with information that matters to their day-to-day life.",3.9,"Tyler Technologies, Inc.
3.9","Seattle, WA",5001 to 10000 Employees,1966,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
235,Senior Data Analyst,$67K - $120K (Glassdoor est.),"Your mission as a Senior Data Analyst:
Serve as a Socrata platform and government data-enabled expert who combines strong technical proficiency and communication skills with excellent interpersonal and business consultant acumen. At Tyler Technologies, we exist to inspire and empower every public servant to address society's pressing issues. We do that by enabling data-driven leadership through connected data and shared insights.
Our data-as-a-service platform and cloud-based solutions support the world’s most effective open and internal data sharing programs at every level of government. What we do matters. New York City, Virginia, the U.S. Department of Commerce, and 230+ other cities, states, counties and federal agencies use us to connect citizens and their internal teams with information that matters to their day-to-day life.",3.9,"Tyler Technologies, Inc.
3.9","Seattle, WA",-1,-1,-1,-1,-1,-1
236,Senior Programmer and Data Analyst,-1,"Senior Programmer and Data Analyst
Classification: Full Time, Non-Classified, Exempt, Benefits-Eligible
Overview: Reporting to the Senior Director of Research and Policy, the Senior Programmer and Data Analyst provides high-level systems analysis and programming support for state-level data submissions, state financial aid programs and ad hoc projects; and is instrumental in providing accurate and meaningful information to stakeholders.
Duties and Responsibilities: Facilitates submission, edit checking, warehousing, and reporting on postsecondary institutional data submissions to the Commission and Council. Works as part of a development team to maintain, enhance, and support the development of web-based computer applications. Provides institutional and user support related to institutional data submission and other web-based computer applications; Develops and maintains applications used by research staff to access and analyze institutional data for statutory and ad hoc reporting. Develops documentation of information system processes; and applies appropriate data security and role-based data access protocols. Assists in the development of system requirements and specifications.",Commission,West Virginia Higher Education Policy Commission,"Charleston, WV",-1,-1,-1,-1,-1,-1
237,Data Engineer,$74K - $105K (Glassdoor est.),"If you take a creative approach to problem solving, enjoy working in a fast-paced environment and have the skills to motivate and lead a team, then building out the technology platform at Gridiron Football is the right role for you.
Gridiron Football is one of the largest youth football organizations in the United States. Our mission is to create the best experience for youth football players, coaches, and parents. Whether players are interested in having recreational fun with their friends or want to train to be the next great NFL star; Gridiron Football is there to provide you with the premier youth football experience. With Arcspring Capital’s large investment, Gridiron Football is on its way to give Flag, Flex, and 7 on 7 football players the chance to reach their dreams, and have fun doing it
We are looking for a create Data Engineer to join our rapidly growing Technology team! in this role you will have to deal with varied creative challenges and work with ever-evolving technologies in the fast paced youth sports market.",GridironFB.com,GridironFB.com,"Southlake, TX",-1,-1,-1,-1,-1,-1
238,Data Scientist,-1,"Data Scientist
Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Scientist to support our Data Science team.
The Data Scientist will be responsible for developing quantitative/analytic models and applications in support of the firm's risk underwriting and marketing effort. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. Our Quantitative Analytic staff is focused on and responsible for the development of the theory and mathematics behind various models. This position reports to Chief Data Scientist.",4.2,"Continental Finance Company, LLC
4.2","Wilmington, DE",51 to 200 Employees,2005,Company - Private,Lending,Finance,Unknown / Non-Applicable
239,Data Scientist with TS Clearance,$76K - $127K (Glassdoor est.),"Are you a subject matter expert with an analytical, data-driven mindset? Are you interested in a role that offers an opportunity to provide front line support to our clients instead of a back office programmer position? If so, Deloittes Government & Public Services (GPS) Regulatory & Legal Support team is the place for you! Join our team of specialists as they unlock insights contained in the data universe and work through challenges related to the identification of improper payments, data quality, mission-oriented analysis, and cost management.

Work youll do
As a Data Scientist within our Regulatory & Legal Support team, you will:
Facilitate use of technology-based risk assessment tools or methodologies to review, design and implement solutions",3.9,"Deloitte
3.9","Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
240,Data Scientist,-1,"Manager of Data & Company Performance
Do you love social media, pop culture and disruptive consumer companies? Are you ready for a career that requires you to be at the cutting edge of digital innovation? LMS is an influencer & social media marketing agency that was founded by industry experts featured multiple times in Forbes Magazine. Our goal is to bridge the gap between people and companies, so that we can build exceptional brands.
We are looking to add to our team with exceptional individuals who connect with our guiding principles. If these core values give you goosebumps, then this opportunity might be right for you!
The LMS core values are:",LMS,LMS,"Greensboro, NC",-1,-1,-1,-1,-1,-1
241,Corporate Analytics Manager (South of Milwaukee),$67K - $119K (Glassdoor est.),"Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Uline's Corporate Operations team analyzes results and seeks opportunities to improve operations and optimize performance - all to ensure we stay true to our company motto of Speed, Passion and Operational Excellence.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.













#LI-JF1
#CORP",3.7,"Uline
3.7","Milwaukee, WI",5001 to 10000 Employees,1980,Company - Private,Unknown / Non-Applicable,-1,-1
242,Machine Learning Scientist,$84K - $148K (Glassdoor est.),"Battelle’s founding mission “to translate scientific discovery and technology advances into societal benefit” is as relevant today as when we opened our doors over 90 years ago. Our science and technology enhance society's well-being and create critical innovations that drive scientific advances for the future. We conduct groundbreaking research and development, design and manufacture leading-edge products, and deliver critical services for commercial and government customers. Our work meets the needs of the nation when it matters most, and Battelle is committed to driving innovation today and for generations to come.

We are currently seeking a Machine Learning Scientist. This position located in Egg Harbor Township, NJ.
JOB SUMMARY",3.6,"Battelle
3.6","Egg Harbor Township, NJ",10000+ Employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD)
243,Data Analyst,$38K - $70K (Glassdoor est.),"Job Description

CACI is seeking a Data Analyst to support business process and performance improvement efforts for the Naval Ship Maintenance Community. The data analyst focuses of analysis and problem-solving data challenges as they relate to types of data, and relationships among data elements within the platform. Produce reports and supporting analysis to measure performance and make data analysis actionable for business partners.

What You’ll Get to Do:
Gather, cleanse, curate and standardize data to support sustainable and scalable data interaction, analysis and insight development

Analyze large and complex data sets and support end-users by enhance information through developing visualizations through dashboards, metrics and user interfaces

Build analytic capabilities and modify existing tools/programs to grow the organizations knowledge and accommodate change.

Translate non-technical requirements into technical business requirements

Perform necessary data mapping, data lineage activities, document information flows and process diagrams

Build data models and business glossary by gathering information from multiple sources such as business users, existing data sources, databases and other relevant documents and systems.

Serve as data and metric processing subject matter expert also demonstrating and understanding key data management principles and data use.

Perform business and/or technical analyses to understand current customer environments (including discrepancies and inconsistencies), define customer needs, determine potential strategies, and deliver plans/proposals for process improvement opportunities and/or projects.

Interface directly with the client, ability to capture requirements and translate into technical requirements for inclusion into products and or services.

Conduct detailed analysis using established statistical methods and develop predictive models.


Bachelor's degree in Computer Science, Mathematics, Statistics, Information Systems, Economics, Engineering or relevant field.

3+ years of experience compiling data for analysis and metrics, working with data analysis methodologies and supporting tools

3+ years of experience using statistical or mathematical techniques

3+ years of experience in project management environment

3+ years of experience in evaluating business requirements and transforming into deliverables

Strong problem formulation, analytical and problem-solving skills, with the ability to communicate in a clear and succinct manner

Dashboard and visualization proficiency in Tableau, ggPlot, Excel advance charts or related industry visualization software.

Proven ability to quickly learn new applications, processes, and procedures.

Proficiency in programming languages such as VBA or Excel Macros, SQL, R, python or similar.

Must possess an active DoD Secret security clearance or eligible for a Periodic Reinvestigation (note: this requires US citizenship.)


American Society for Qualify Six Sigma Greenbelt or Black Belt (CSSGB/CSSBB) Certification.

Certified Associate in Project Management (CAPM) or Project Management Institute Project Management Professional (PMP) Certification.

Naval or Shipyard Experience.

Knowledge of SQL/queries and Oracle databases


We’ve been named a Best Place to Work by the Washington Post.

Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.

We offer competitive benefits and learning and development opportunities.

We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.

For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.
Job Location
US-Portsmouth-VA-NORFOLK-VIRGINIA BCH

CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",3.8,"CACI
3.8","Portsmouth, VA",10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
244,Data Scientist,-1,"Financial Data Scientist
We are looking for a strategic, experienced Financial Data Scientist to deliver financial analytics support services to deliver ongoing financial analytics needs. You will participate in the development of crucial data analytics collections and the development of high-level financial reporting capabilities. This role is perfect for someone who has an ownership mentality, is passionate about learning, researching, and finding the solutions that support a world-class culture and organization. You will leverage your experience and passion to drive results and exceed customer expectations.
Responsibilities:
Employ scientific methods, processes, algorithms, and systems to extract knowledge and insights from both structured and unstructured data from multiple disconnected sources.",Solutions,Prominent Global Solutions,"Fort Meade, MD",-1,-1,-1,-1,-1,-1
245,Data Scientist / Predictive Analytics Professional,-1,"Data Scientist / Predictive Analytics Professional
Company: SimioCloud a part of Moore DM Group
Location: Westminster, Colorado
About Us
We are a group of passionate technology professionals who are committed to delivering best-in-class data, data science and software solutions for the nonprofit space. We care deeply about our clients’ needs and understand that the work we do has a direct impact on their ability to improve the lives of many people and further their missions.
About the Job",SimioCloud,SimioCloud,"Westminster, CO",-1,-1,-1,-1,-1,-1
246,Machine Learning Engineer,-1,"Company Overview:
Age of Learning is a leading education technology innovator based in Glendale, California, with a talented team of more than 600 individuals comprised of nationally-renowned educators, curriculum experts, developers, artists, writers, designers, engineers, producers, product managers, analysts and marketing experts! Together we develop engaging, effective digital learning technology and content to help children build a strong academic foundation for lifelong success.
Our flagship product ABCmouse.com Early Learning Academy® is a comprehensive online curriculum and the #1 digital learning product for young children. To-date, more than 30 million children worldwide have completed over 8 billion Learning Activities on ABCmouse. We recently launched Adventure Academy, the first massively multiplayer online (MMO) game designed specifically to help elementary- and middle-school-aged children learn. It features thousands of engaging Learning Activities—including minigames, books, original animated and live action series, and more—in a fun and safe virtual world. Other Age of Learning programs include immersive English language learning products for children in China and Japan; ReadingIQ, a digital library and literacy platform; and a groundbreaking personalized, adaptive digital learning system that individualizes math instruction for every child through AI-driven technology.",3.8,"Age of Learning
3.8","Glendale, CA",501 to 1000 Employees,2007,Company - Private,K-12 Education,Education,$100 to $500 million (USD)
247,Senior Data Engineer,$67K - $127K (Glassdoor est.),"Join our team dedicated to developing and executing innovative solutions in support of customer mission success. Novetta is committed to cultivating a diverse, inclusive workplace culture, embracing our differences and perspectives to build a stronger, more successful company.
Job Description:

Novetta has an immediate need for a Senior Data Engineer to join a fast-paced program in support of a government customer with a very critical national security mission. This is a multi-year program, where the successful candidate will work on an interdisciplinary project team of more than 30 highly qualified individuals with a wide array of skills that include client (reactjs), server (spring java), QA Automation Engineers, UI/UX Designers, and DevOps engineers. The team is responsible for building a next generation Mission Information System and is performing greenfield Software Development using modern technologies via an Agile DevOps approach.

This Senior Data Engineer will play a vital role collaborating as part of this cross-functional Agile team to create and enhance data ingestion pipelines and address big data challenges. The Senior Data Engineer will work closely with the Chief Architect, systems engineers, software engineers, and data scientists on the following key tasks:",4.7,"Novetta
4.7","Reston, VA",501 to 1000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
248,Data Engineer,$67K - $128K (Glassdoor est.),"Quotient Technology Inc. is currently seeking an Engineer for the Data Platform team to drive high quality data products and services to the market. This person will be responsible for design, develop and support products and services on top of our big data platform. This candidate demonstrates strong knowledge of data architecture and analytics development. Data quality as his/her passion, works well in some ambiguity. His / Her experience is filled with taking initiatives, patience, thoroughness, hands on working experience, willingness to work within a diverse distributed team. Possesses strong technical skills and prior experience in working with highly talented engineers is expected.

Position Responsibilities
Individual contributor, Self-starter, able to work in a fast-paced environment with multiple priorities
Design and implement frameworks for future needs in snowflake, cloud-based data platforms


Quotient (NYSE: QUOT) is the leading digital media and promotions technology company that creates cohesive omnichannel brand-building and sales-driving opportunities to deliver valuable outcomes for advertisers, retailers and consumers. The Quotient platform is powered by exclusive consumer spending data, location intelligence and purchase intent data to reach millions of shoppers daily and deliver measurable, incremental sales. Quotient partners with leading advertisers and retailers, including Clorox, Procter & Gamble, General Mills, Unilever, Albertsons Companies, CVS, Dollar General and Peapod Digital Labs, a company of Ahold Delhaize USA. Quotient is headquartered in Mountain View, California, and has offices across the US as well as in Bangalore, Paris, London and Tel Aviv. For more information visit www.quotient.com

Quotient is an equal opportunity employer. We celebrate diversity, and do not unlawfully discriminate on the basis of race, color, national origin, ancestry, creed, sex, gender, sexual orientation, gender identity or expression, age (40 and over), religion, political affiliation, citizenship, disability, marital or registered domestic partner status, veteran status, legally protected medical conditions, or any protected category prohibited by local, state or federal laws.

#LI-CS1",3.3,"Quotient Technology Inc.
3.3","Salt Lake City, UT",501 to 1000 Employees,1998,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD)
249,Experienced Data Engineer,$59K - $98K (Glassdoor est.),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That’s why we provide an environment focused on openness, inclusion, trust and respect. Here, you’ll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession. We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more, please visit https://www.libertymutualgroup.com/about-lm/careers/benefits
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG’s Insider Pro and Computerworld’s 2020 list. We have been named by Forbes as one of America’s Best Employers for Women and one of America’s Best Employers for New Graduates—as well as one of America’s Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion",3.8,"Liberty Mutual Insurance
3.8","Indianapolis, IN",,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
250,Analytical Consultant (Utilities),$65K - $101K (Glassdoor est.),"Duration: 12-month contract, with likely extension (Current project has “5 years’ worth of work”)
Location: Oak Brook, IL 60523 (100% remote until COVID restrictions are lifted in late 2021/early 2022)
End Client: Large utility industry organization
Interview Mode: Video to hire
Pay Rate / Benefits Overview
Hourly W2 rate (Overtime eligible)
No paid time off (PTO), which includes 10 Federal holidays",4.4,"nTech Solutions Inc.
4.4","Oak Brook, IL",201 to 500 Employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
251,Data Modeler,$73K - $122K (Glassdoor est.),"BICP, a market leader in BI&A and Cloud Transformation, is looking to hire a Sr. Data Modeler to support a multi-year enterprise modernization effort at our longstanding Fortune 100 retailer in the Portland area. We currently have a team on-site supporting multiple groups with their drive to deploy NextGen platforms and applications capable of powering real time analytics. The Data Modeler/Architect will be part of a new squad focused primarily on delivering new functionality associated with Supply Chain data. Ideal consultant will have at least 5 years Data Modeling, extensive ERWIN expertise and, in general, be familiar with a variety of techniques to consume and process large data volumes/datasets.",5.0,"BICP
5.0","Beaverton, OR",1 to 50 Employees,2009,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
252,Data Scientist,-1,"Summary
Need a Data Scientist who has hands on experience building and enhancing media mix models to connect the impact of marketing drivers and business short-term and long-term outcomes. Should have prior experience with MMM, measurement, A/B testing, marketing strategy &analytics. Proficient coding skills (Python/SQL) and database knowledge
Roles & Responsibilities
Build and enhance media mix models to connectthe impact of marketing drivers and business short-term and long-term outcomes
Develop optimization and simulation algorithmsto guide the marketing investment and allocation recommendations tostakeholders",5.0,"Practical Solutions, Inc.
5.0","San Mateo, CA",1 to 50 Employees,Company - Private,Consulting,Business Services,Less than $1 million (USD),-1
253,Data Scientist,-1,"Summary
Need a Data Scientist who has hands on experience building and enhancing media mix models to connect the impact of marketing drivers and business short-term and long-term outcomes. Should have prior experience with MMM, measurement, A/B testing, marketing strategy &analytics. Proficient coding skills (Python/SQL) and database knowledge
Roles & Responsibilities
Build and enhance media mix models to connectthe impact of marketing drivers and business short-term and long-term outcomes
Develop optimization and simulation algorithmsto guide the marketing investment and allocation recommendations tostakeholders",5.0,"Practical Solutions, Inc.
5.0","San Mateo, CA",-1,-1,-1,-1,-1,-1
