,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
67,Data Analyst,$44K - $79K (Glassdoor est.),"POSITION: DATA ANALYST

Summary:

The Data Analyst will turn data into information, information into actionable insight and those insights into business strategies, tactics and decisions. This role is critical to the organization because it uses data and insights to tell compelling stories with data that empower the business to make better, more informed decisions.

Key Result Areas:

§ Bring together disparate data and information from multiple internal and external sources. Create dashboards, make information out of raw data.

§ Perform data entry, scrub data, produce and maintain dashboards and reports that are retrospective and forward looking for the purpose of impact on business goal achievement

§ Interpret data, analyze results using statistical techniques and provide ongoing reports

§ Create compelling visual narratives in order to present the findings of data analyses.

§ Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

§ Acquire data from primary or secondary data sources and maintain databases/data systems

§ Identify, analyze, and interpret trends or patterns in complex data sets

§ Work with management to prioritize business and information needs

§ Locate and define new process improvement opportunities in collaboration with business or roles such as a business analyst

§ Perform additional duties as required

Qualifications:

§ Bachelor’s Degree

§ 2+ years of proven working experience as a Data Analyst with a successful track record of turning raw data into meaningful analysis

§ 2+ years’ experience with Spotfire or Tableau

§ Proven track record as a power user of Google Analytics platform, Google Tag Manager, Google Ad Words, Google Search Console, Advanced Excel

§ Technical expertise regarding data models, database design development, data mining and segmentation techniques

§ Strong experience using data and analytics to measure attribution across marketing campaigns, optimize digital media, optimize conversion funnels, and increase online user engagement.

§ Strong knowledge of and experience with reporting packages (Business Objects), databases (SQL), programming (XML, Javascript, or ETL frameworks)

§ Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)

§ Demonstrated ability to manage time and prioritize projects to meet deadlines

§ Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

§ Demonstrated experience working with internal clients to understand their goals and document usage scenarios

§ Excellent critical thinking skills to help solve business problems and make decisions, along with demonstrated experience analyzing and prioritizing user feedback to enhance the user experience

§ Demonstrated experience working with internal clients to understand their goals and document usage scenarios

§ Adept at queries, report writing and presenting findings

§ Ability to work across various business lines and support groups in obtaining, analyzing data and establishing actionable programs with measurable results

§ Strong written and verbal communication skills

§ Familiar with emerging technologies and methodologies for working, such as agile

The above description covers the most significant responsibilities but does not exclude other occasional responsibilities and accountabilities, the inclusion of which would be in conformity with the major purpose of this job.

Location:

Waltham, Massachusetts

About Cambridge Savings Bank:

Cambridge Savings Bank is a full-service financial institution with approximately $5 billion in assets that is committed to improving the quality of life in the communities it serves. One of the oldest and largest community banks in Massachusetts, Cambridge Savings Bank offers a full line of individual and business banking services and has branches located in Arlington, Bedford, Belmont, Burlington, Cambridge, Charlestown, Concord, Lexington, Melrose, Newton, and Watertown.

Cambridge Savings Bank is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. We are a VEVRAA Federal Contractor.",3.8,"Cambridge Savings Bank
3.8","Waltham, MA",201 to 500 Employees,1834,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),0,0,44,79,61.5,Cambridge Savings Bank,MA,186,0,0,0,0,1,analyst,na,4482
68,Data Science Manager,$137K - $155K (Glassdoor est.),"About Dealerware:
Dealerware is modern fleet management for the modern retailer. We are proud to be one of the hottest software companies in the automotive sector. By combining a modern-approach with fresh design thinking, Dealerware’s industry-leading SaaS platform enables best-in-class fleet management and mobility for top automotive dealerships and manufacturers. Three years ago, we burst onto the scene with a promise to reduce costs and elevate the customer experience at automotive dealerships. Today, we’re experiencing 100% YOY growth and are positioned to truly change the way the world hits the road. Across the automotive ecosystem, there’s hundreds of billions of dollars at stake. And we’re right in the swell of it.

Dealerware is looking for a to apply their leadership and experience in data science development to manage a team of data scientists to innovate in the fleet management and connected car space. They will need a deep understanding of statistics, analytics, machine learning and programming to discover hidden opportunities, trends and patterns. Working cross functionally with our team they will understand the data science and analytics and business requirements that will help our product unlock data insights for our customers. We are looking for a strong self-starter who will work closely with product management, engineering, design and research to co-create and drive a culture of curiosity and experimentation.",5.0,"Dealerware
5.0","Austin, TX",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,137,155,146.0,Dealerware,TX,3,0,0,0,0,0,manager,na,1451
69,Data Engineer,$46K - $87K (Glassdoor est.),"Overview:
Do you enjoy working with other people and finding solutions when everyone else only see problems?
Are you compelled to initiate action and remain proactive in getting things done?
Do you take pride in the work you accomplish?
Does success motivate you to want to do more and be better?
Can you handle multiple projects at the same time and smile?
If you can answer yes to these questions Idaho Central Credit Union is ready for you to join our team!

The Data Engineer is responsible for architecting, managing, optimizing, overseeing and monitoring data retrieval, storage and distribution. This role is responsible for the technical aspects and enhancements of the data integration tools, enterprise data warehouse, data lake, and enterprise reporting tools.

Responsibilities:


Qualifications:",4.5,"Idaho Central Credit Union
4.5","Chubbuck, ID",1001 to 5000 Employees,1940,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),0,0,46,87,66.5,Idaho Central Credit Union,ID,80,0,0,0,0,0,data engineer,na,808
70,Product Strategy Leader - Data Science Technologies,$98K - $158K (Glassdoor est.),"What We'll Bring:
At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation. We’re consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.

Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology.
What You'll Bring:
Advanced knowledge of the product management lifecycle management and go to market processes for B2B software in the data science and machine learning platform space


Sr Advisor, Product Management",3.9,"TransUnion
3.9","Chicago, IL",5001 to 10000 Employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),0,0,98,158,128.0,TransUnion,IL,52,0,0,0,0,0,na,senior,654
71,MSAT Scientist / Engineer,$45K - $96K (Glassdoor est.),"Job Title: MSAT Engineer / Scientist
Location: Carlsbad, CA
When you’re part of the team at Thermo Fisher Scientific, you’ll do important work, like helping customers in finding cures for cancer, protecting the environment or making sure our food is safe. Your work will have real-world impact, and you’ll be supported in achieving your career goals.
Location/Division Specific Information
At Microbial Manufacturing Services (MMS), a new Business Unit within Thermo Fisher Scientific’s Pharma Services Group, we deliver, from process development through commercial supply, the expertise and resources necessary to help clients deliver innovative plasmid-based therapeutics as critical raw materials, drug substances, and drug products. Placed in the forefront of our leading- and cutting-edge Cell and Gene Therapy businesses enabling clients to cure genetic, rare, and otherwise untreatable diseases as their CDMO of choice.",3.7,"Thermo Fisher - America
3.7","Carlsbad, CA",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,45,96,70.5,Thermo Fisher - America,CA,118,0,0,0,0,0,na,na,926
72,Data Engineer,$95K - $176K (Glassdoor est.),"About the Role
In this exciting role, you will:
Help us build state-of-art data processing framework for our security-oriented IoT platform
Work to architect a big data platform that is real-time, stable and scalable in order to support data analytics, reporting, data visualization and machine learning
Design and develop ETL for the new big data platform with open source technologies such as Kafka, Spark, and Presto etc.",3.5,"Brivo
3.5","Bethesda, MD",51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),0,0,95,176,135.5,Brivo,MD,21,0,0,1,0,0,data engineer,na,424
73,Senior Data Scientist,$94K - $150K (Glassdoor est.),"Here at ShipStation, part of Auctane, we're passionate about helping online businesses become more productive. We save thousands of merchants hours every day by automating the fulfillment side of their business. We partner with top eCommerce and shipping companies to make a previously complicated and labor-intensive process simple and enjoyable.

As a Senior Data Scientist, you will solve challenging logistics and optimization problems to make our customers more successful. You will analyze large amounts of data from a variety of sources, discover and solve real world problems, and develop metrics and business cases that will enable us to continually delight ShipStation customers. The ideal candidate will be a self-starter, highly analytical, and intensely detailed with a strong customer focus.

Responsibilities:
:


If you are based in California, we encourage you to read this important information about the for California residents linked here.

#LI-JF1",3.8,"Stamps.com
3.8","Austin, TX",1001 to 5000 Employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),0,0,94,150,122.0,Stamps.com,TX,24,0,0,0,0,0,data scientist,senior,969
74,Marketing Analytics Manager (South of Milwaukee),$47K - $93K (Glassdoor est.),"Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Our customer promise is worth bragging about. Use your marketing and advertising expertise to spread the word and grow our business.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities













#LI-SR1
#CORP",3.7,"Uline
3.7","Milwaukee, WI",5001 to 10000 Employees,1980,Company - Private,Unknown / Non-Applicable,-1,-1,0,0,47,93,70.0,Uline,WI,40,0,0,0,0,0,manager,na,483
75,Marketing Analytics Manager (South of Milwaukee),$47K - $93K (Glassdoor est.),"Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Our customer promise is worth bragging about. Use your marketing and advertising expertise to spread the word and grow our business.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities













#LI-SR1
#CORP",3.7,"Uline
3.7","Milwaukee, WI",-1,-1,-1,-1,-1,-1,0,0,47,93,70.0,Uline,WI,-1,0,0,0,0,0,manager,na,483
76,Data Engineer,$58K - $113K (Glassdoor est.),"The Data Engineer analyzes complex and unstructured data using state-of-the-art data science and engineering methods to help with data driven decision making. This role uses knowledge of data science methods and applies analytics to solve real world problems. The Data Engineer will work with customers and/or internal stake holders to collect and understand data, perform wrangling, develop and integrate applications and collaborate.

Utilize your knowledge of modern data driven methods and domain understanding to support the creation of new products, services and insights using predictive models
You have a demonstratable ability to write independent source code, validate and test for model quality improvement
Are comfortable in machine learning, artificial intelligence, classification, regression, nlp, etc.


Minimum 3-4 years of relevant experience in data analytics as a data engineer, data analysit, data scientist (or applied scientist role)



BS degree required; MS preferred in Data Engineering, Data Science Computer Science, Engineering, or another relevant field



None



Must be a US Citizen or Permanent Resident (US Person) and be able to work on Government Data



Reports directly to the Chief Data Scientist in Global Technology



May have individual contributor direct reports.



This job description is not intended, and should not be construed, to be an all-inclusive list of responsibilities, skills, efforts or working conditions associated with the job of the incumbent. It is intended to be an accurate reflection of the principal job elements essential for making a fair decision regarding the pay structure of the job.



Work is primarily sedentary; exerting up to 10 pounds of force occasionally and/or a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move object



Exempt

The American Bureau of Shipping is committed to the equal employment opportunity of its employees and prohibits discrimination against any employee or qualified applicant on the basis of race, color, creed, religion, national origin, sex, gender identity, age, disability, marital status, sexual orientation, citizenship status or veteran status, or other non-work-related characteristics that may be protected under the law of the Federal Government or specific state employment laws.",3.8,"American Bureau of Shipping
3.8","Houston, TX",-1,-1,-1,-1,-1,-1,0,0,58,113,85.5,American Bureau of Shipping,TX,-1,0,0,0,1,0,data engineer,na,2347
77,ASSOCIATE SCIENTIST,$30K - $69K (Glassdoor est.),"Job Summary
The incumbent is responsible for routine testing of raw material, in-process, finished product and stability samples in the Quality Control Chemistry laboratory.
Reports to QC Chemistry Supervisor
Duties are of routine nature and are followed according to established standard operating procedures. Problem recognition ability is needed. Non-critical functions utilize independent action and decision making with follow-up reporting to supervision.
Supervisor directly responsible for training, assignment of duties and review/approval of work. Direction, training and some day-to-day supervision may also come from a Scientist or Lead Scientist.
Effectively communicates work and results both orally and in writing.",3.7,"Fresenius Kabi
3.7","Grand Island, NY",10000+ Employees,-1,Health Care Products Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,0,0,30,69,49.5,Fresenius Kabi,NY,-1,0,0,0,0,0,na,na,728
78,Data Scientist - Managing Consultant,$91K - $147K (Glassdoor est.),"Overview

Guidehouse is a leading management consulting firm serving the public and commercial markets. We guide our clients forward towards new futures that build trust in society and your professional skills along the journey. Join us at Guidehouse.

Responsibilities

Our consultants on the Advanced Analytics & Intelligent Automation team help clients maximize the value of their data and automate business processes. This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data visualization and dashboarding, to predictive analytics, machine learning, and artificial intelligence as well as robotic process automation (RPA). Our services enable our clients to define their information strategy, enable mission critical insights and data-driven decision making, reduce cost and complexity, increase trust, and improve operational effectiveness.",3.7,"Guidehouse
3.7","Washington, DC",5001 to 10000 Employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,0,0,91,147,119.0,Guidehouse,DC,2,0,0,0,0,0,data scientist,na,947
79,Data Scientist (Decision Science Identity Team),$87K - $144K (Glassdoor est.),"Company Description
Epsilon is the leader in outcome-based marketing. We enable marketing that’s built on proof, not promises. Through Epsilon PeopleCloud, the marketing platform for personalizing consumer journeys with performance transparency, Epsilon helps marketers anticipate, activate and prove measurable business outcomes. Powered by CORE ID®, the most accurate and stable identity management platform representing 200+ million people, Epsilon’s award-winning data and technology is rooted in privacy by design and underpinned by powerful AI. With more than 50 years of experience in personalization and performance working with the world’s top brands, agencies and publishers, Epsilon is a trusted partner leading CRM, digital media, loyalty and email programs. Positioned at the core of Publicis Groupe, Epsilon is a global company with over 8,000 employees in over 40 offices around the world. For more information, visit www.epsilon.com. Follow us on Twitter at @EpsilonMktg.",3.6,"Epsilon
3.6","Chicago, IL",5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD),0,0,87,144,115.5,Epsilon,IL,51,0,0,0,0,0,data scientist,na,987
80,Business Intelligence Analyst,$49K - $100K (Glassdoor est.),"Who We Are:

At PEMCO it’s all about people, starting with our customers. We’re a mutual insurance company owned by our Northwest policyholders and protecting their dreams since 1949. We believe in listening to our customers and showing that we understand them in ways that others don’t.

Why We Need You:

PEMCO has a dynamic and challenging opportunity for a Business Intelligence Analyst to join our community. In this role, you’ll be responsible for reporting, interpreting, and translating department-level data to provide insights that drive effective business decisions. The position ensures the necessary department data is available for use, either through the corporate data warehouse or by direct extraction from the source. If you want to help us harness the power of data to propel us into the future, we’d love to chat with you.",4.3,"PEMCO Insurance
4.3","Lynnwood, WA",501 to 1000 Employees,1949,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),0,0,49,100,74.5,PEMCO Insurance,WA,71,0,0,0,0,0,analyst,na,842
81,Business Intelligence Analyst,$46K - $94K (Glassdoor est.),"Are you looking for a new opportunity in a fast paced, growing environment?
Venable LLP has an exciting opportunity for a Business Intelligence Analyst in our Baltimore office.

The Business Intelligence Analyst will be responsible for collaborating with IT peers and management on the design, development, security, documentation and quality assurance of the technical architecture of business intelligence solutions as well as supporting complete life cycle development of enterprise data warehouse, analytics reports and dashboards.

The ideal candidate will be responsible for...
Supporting the engineering of technology and information solutions encompassing Business Intelligence tools, ﻿ETL, database query, master data, meta data and visualizations


...
Venable holds certain guiding principles central to its hiring and employee development processes. We value integrity, collaboration, professionalism, hard work, and client service at every level. Interested in adding your voice to Venable? We would love to hear from you.",3.6,"Venable LLP
3.6","Baltimore, MD",1001 to 5000 Employees,1900,Company - Private,Legal,Accounting & Legal,Unknown / Non-Applicable,0,0,46,94,70.0,Venable LLP,MD,120,0,0,0,0,0,analyst,na,1035
82,Business Intelligence Analyst,$46K - $94K (Glassdoor est.),"Are you looking for a new opportunity in a fast paced, growing environment?
Venable LLP has an exciting opportunity for a Business Intelligence Analyst in our Baltimore office.

The Business Intelligence Analyst will be responsible for collaborating with IT peers and management on the design, development, security, documentation and quality assurance of the technical architecture of business intelligence solutions as well as supporting complete life cycle development of enterprise data warehouse, analytics reports and dashboards.

The ideal candidate will be responsible for...
Supporting the engineering of technology and information solutions encompassing Business Intelligence tools, ﻿ETL, database query, master data, meta data and visualizations


...
Venable holds certain guiding principles central to its hiring and employee development processes. We value integrity, collaboration, professionalism, hard work, and client service at every level. Interested in adding your voice to Venable? We would love to hear from you.",3.6,"Venable LLP
3.6","Baltimore, MD",501 to 1000 Employees,1997,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable,0,0,46,94,70.0,Venable LLP,MD,23,0,0,0,0,0,analyst,na,1035
83,Data Scientist,$98K - $165K (Glassdoor est.),"Tradeweb is looking to add a Data Scientist to its Data & Analytics team. Our Data Science team is responsible for managing the development and optimization of advanced analytics on a global scale across the company.
In this role, you will enjoy working with one of the richest financial data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The ideal candidate will have experience doing advanced data analysis, will have worked with large data stores, and will have experience building machine learning models. Candidates should be curious, focused on results, a self-starter, and have demonstrated success in using analytics to drive value in an organization.
Design, build, test and deliver new data science services and advanced analytics to Tradeweb globally",4.5,"Tradeweb Markets LLC
4.5","Jersey City, NJ",-1,-1,-1,-1,-1,-1,0,0,98,165,131.5,Tradeweb Markets LLC,NJ,-1,0,0,0,0,0,data scientist,na,842
84,Data Engineer,$80K - $115K (Glassdoor est.),"Job Description
Duties
Develop image processing algorithms using Python
Support development of Machine Learning/Deep Learning (ML/DL) algorithms and pipelines using the image data
Work with scientists, contractors, and IT staff to curate, organize, and document clinical images from Genentech and Roche trials
Support data integration efforts across diverse data sources
Continually search for opportunities to automate workflows and streamline processes
Direct communication with outside vendors and in-house staff to reconcile data transfer problems",4.1,"Akshaya Inc
4.1","San Jose, CA",51 to 200 Employees,2012,Company - Private,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),0,0,80,115,97.5,Akshaya Inc,CA,8,1,0,0,0,0,data engineer,na,551
85,Data Scientist,$100K - $167K (Glassdoor est.),"We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!



As a Data Scientist within Dun & Bradstreet's Analytics team, you will participate in all aspects of modeling engagement, including design, development, validation, calibration, documentation, approval, implementation, monitoring, and reporting. You will research complex business issues and recommend solutions, including model features and end products and any data required to support growing Dun & Bradstreet initiatives.

:
As the ideal candidate, you are creative and inquisitive in nature, have the flexibility to learn and apply new methodologies, effectively communicate complex ideas to both a technical and non-technical audience and work both independently and collaboratively while managing multiple assignments.

Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com.",3.4,"Dun & Bradstreet
3.4","Short Hills, NJ",1001 to 5000 Employees,1841,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD),0,0,100,167,133.5,Dun & Bradstreet,NJ,179,0,0,0,0,0,data scientist,na,2416
86,Regulatory Affairs Data Analyst,$58K - $73K (Glassdoor est.),"Main Objective: Provide data stewardship, including the maintenance, validation and continuous improvement of SAP master data specific to regulatory activities for Arthrex, Inc.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Creates, maintains, monitors and analyzes master data in SAP and/or other integrated solutions.

Accurately inputs data/uploads of all pertinent information.

Verifies all data elements are correct for data entry or upload.

Logs, tracks and reports on global regulatory submission and licensing data for Regulatory Department marketing authorizations.

Engages global system users to ensure and enhance data quality and train users to ensure continuity of results.

Implements creative yet logical approaches to solving data problems utilizing established global and regulatory rules.

Identify, analyze and resolve issues related to integrity, accuracy, consistency, compliance, and completeness of Regulatory master data.

Provides testing support for upgrades and releases, including integration testing from various sources to target systems.

Implement, measure and report key process indicators related to Master Data Management initiatives and data quality.

Conduct periodic audits of Regulatory master data to confirm accuracy.

Partner with IT teams in long-term and Global strategic improvement initiatives.

Communicate effectively with internal and external business partners to achieve company objectives; professionally communicate critical time-sensitive information exceptions and changes to affected parties.

Ability to support project and service requests from global operations in multiple time zones

Knowledge - Limited use and/or application of basic master data management principles, theories, and concepts. Limited knowledge of industry practices and standards.

Problem Solving- Solves routine problems of limited scope and complexity following established policies and procedures.

Discretion/ Latitude- Work is closely supervised. Follows specific, detailed instructions.

Impact- Contributions are usually limited to task-related activities. Errors do not typically have a major effect on the organization. May assist with projects.

Liaison- Contacts are primarily with immediate supervisor, and other personnel in the section or group.

Education Experience- Bachelor's degree in Business, Engineering or Computer Science or related field required. Master’s degree in Business or Engineering preferred

All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

Naples",4.0,"Arthrex
4.0","Naples, FL",1001 to 5000 Employees,1981,Company - Private,Health Care Products Manufacturing,Manufacturing,$1 to $2 billion (USD),0,0,58,73,65.5,Arthrex,FL,39,0,0,0,0,0,analyst,na,2674
87,Customer Care Data Analyst,$43K - $77K (Glassdoor est.),"Note: Employment-based non-immigrant visa sponsorship and/or assistance is not offered for this specific job opportunity at this time.
About You
You have a Bachelor's Degree
You love analysis and have the ability to use Excel, Access, SAS, SQL and other tools to support analytical methods, database management, and communication of results",3.6,"OneMain Financial
3.6","Evansville, IN",10000+ Employees,1912,Company - Public,Lending,Finance,Unknown / Non-Applicable,0,0,43,77,60.0,OneMain Financial,IN,108,0,0,0,0,1,analyst,na,340
88,Data Scientist - HCI,$103K - $120K (Glassdoor est.),"Data Scientist - HCI
Long Beach, CA
Full-time

About SCAN
As one of the nation’s largest not-for-profit Medicare Advantage plans, serving more than 200,000 members in California, SCAN Health Plan has been a mission-driven organization dedicated to keeping seniors healthy and independent for over 40 years. SCAN employees are passionate about what they do, and understand that success is based on achieving the mission. Employees are afforded with the training and tools necessary to do their jobs and are rewarded for their efforts and recognized as experts in their fields. To learn more, visit scanhealthplan.com or follow us on social media: LinkedIn; Facebook; and Twitter.",4.1,"SCAN Group
4.1","Long Beach, CA",501 to 1000 Employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD),0,0,103,120,111.5,SCAN Group,CA,43,0,0,0,0,0,data scientist,na,678
89,Regional Data Analyst,$43K - $75K (Glassdoor est.),"Become a part of the Young Living family!


Young Living is a universally known, household name that is revered and respected for the countless benefits it brings to humanity. Propelled by the world’s purest essential oils and oil-infused products, along with our passionate commitment to empowering individuals to whole-life wellness, we champion the modern essential oil movement. A global, purpose-driven wellness revolution is underway, and Young Living leads the charge.
Working at Young Living
Our community of wellness started small in 1993, when  D. Gary Young  and Mary Young developed their first organic herb farming and distillation operation. After establishing Young Living in 1994, the Youngs developed its groundbreaking Seed to Seal® process, which preserves the integrity and potency of essential oils through every step of the production process.",3.5,"Young Living Essential Oils
3.5","Lehi, UT",1001 to 5000 Employees,1994,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$2 to $5 billion (USD),0,0,43,75,59.0,Young Living Essential Oils,UT,26,0,0,0,0,0,analyst,na,865
90,Business Analyst - Claim and Data Analyst,$41K - $74K (Glassdoor est.),"Grade 9

GeoBlue is the trading name for the international health insurance programs of Worldwide Insurance Services, an independent licensee of the Blue Cross and Blue Shield Association. For the past 20 years, GeoBlue has been dedicated to simplifying the international healthcare experience for the globally mobile. GeoBlue members have access to the Blue Cross Blue Shield network in the U.S. and our hand-picked network of high-quality medical providers outside the U.S. where we collaborate closely with our largest single shareholder, Bupa, one of the largest healthcare companies on the planet outside the US. Coupled with leading-edge technology and 24/7 multilingual world-class medical assistance, GeoBlue provides members with the confidence and peace of mind to carry out their international aspirations. GeoBlue offers a range of solutions, covering the needs of the globally mobile for short trips and long-term assignments including group, individual and student international health insurance plans.

We are looking for a Business Analyst– Claim and Data Analytics who is responsible for maintaining current knowledge of the Blue Cross Blue Shield Blue Card Program and using that knowledge in the administration of the Blue Card Program. In this capacity, the role is responsible for providing guidance and support the resolution of escalated inquiries. In addition, this role will perform data interpretation and analysis to transform data into information and provide insights to support business decisions.

We offer competitive benefits including medical, dental, life insurance, 401(k), PTO, and more.

EOE/M/F/Vets/Disabled

If you prefer to mail your resume you can send it to:",3.4,"GeoBlue
3.4","King of Prussia, PA",201 to 500 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),0,0,41,74,57.5,GeoBlue,PA,23,0,0,0,0,0,analyst,na,1702
91,RESEARCH SCIENTIST - PCR/MOLECULAR,$33K - $60K (Glassdoor est.),"JOB DESCRIPTION
Title: Research Scientist
Division / Dept.: PCR/Molecular
Location: Richmond, VA (Office Based)
Note: Full time, Benefits, Relocation Assistance Available

PPD is a leading global contract research organization providing comprehensive, integrated drug development, laboratory and lifecycle management services. At PPD, we are passionate, deliberate, and driven by our purpose- to improve health!

Envision a workplace where you have a direct impact on improving health, work alongside expert scientists, use newest technologies and collaborate with industry thought leaders and therapeutic experts. Welcome to PPD® Laboratories, where science is our passion, quality is our commitment and people are the cornerstone of our success.

At PPD we hire the best, develop ourselves and each other, and recognize the power of being one team. We offer continued career advancement opportunities, award winning training and benefits focused on the health and wellbeing of our employees.",4.0,"PPD
4.0","Richmond, VA",10000+ Employees,1985,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),0,0,33,60,46.5,PPD,VA,35,0,0,0,0,0,na,na,993
92,Data Scientist Technical Specialist,$50K - $107K (Glassdoor est.),"Technology is constantly changing and our adversaries are digitally exceeding law enforcement’s ability to keep pace. Those charged with protecting the United States are not always able to access the evidence needed to prosecute crime and prevent terrorism. The Government has trusted in Peraton to provide the technical ability, tools, and resources to bring criminals to justice. In response to this challenge, these employees provide proven, industry leading cloud development experience for our enforcement customer. At Peraton you will help protect our national security by working with our countries law enforcement customer to solve their big data challenges. Peraton is looking for a talented Data Scientist, to analyzing production data which will lead to the program choosing right-fit technology solutions.
What you’ll do…
Work closely with entity resolution subject matter experts, program engineers and stakeholders to integrate complex data sources into operation and develop new analytics and algorithms",4.0,"Peraton
4.0","Chantilly, VA",5001 to 10000 Employees,2017,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),0,0,50,107,78.5,Peraton,VA,3,0,0,0,0,0,data scientist,na,1018
93,Marketing Data Analytics Manager,$34K - $71K (Glassdoor est.),"Tuesday, February 2, 2021

As a Marketing Data Analytics Manager, you will help facilitate the growth of an emerging Data Analytics group within Central Insurance. You will have the ability to create solutions from sprawling data sets and the business acumen to convert findings into strategic opportunities. The Marketing Data Analytics Manager will be counted upon to work closely with the Director of Brand and Marketing Strategy to support and implement high-quality data-driven decisions. This individual will be expected to use statistical techniques to solve real world problems, interpret key findings and ensure that data accuracy and consistent reporting are achieved by implementing optimal process for analytics employees to follow. This candidate must be a strong leader, motivator, collaborator, and a strategic thinker.

Responsibilities",4.4,"Central Insurance Companies
4.4","Van Wert, OH",501 to 1000 Employees,1876,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),0,0,34,71,52.5,Central Insurance Companies,OH,144,0,0,0,0,0,manager,na,852
